0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work06.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work04.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work05.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work08.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:32 +0900] "GET /kopo/images/work/work07.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/ HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/css/default.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/js/uni.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/main_img.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/main_img2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/icon2.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/icon1.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/main_img3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/icon3.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/icon4.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work02.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work04.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work08.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work05.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work06.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:33 +0900] "GET /kopo/images/work/work07.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/ HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/css/default.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/js/uni.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/main_img.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/main_img3.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/main_img2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/icon2.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/icon1.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/icon3.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/icon4.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work01.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work04.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work02.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work03.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work05.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work06.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work08.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:38:34 +0900] "GET /kopo/images/work/work07.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/ HTTP/1.1" 200 8913
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/css/default.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/js/uni.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/js/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/images/menu_bar.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [06/Nov/2020:13:39:20 +0900] "GET /kopo/images/main_img.jpg HTTP/1.1" 404 721
